Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name              kernel        rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
shape   shape_1           float4        6144      4096      256     64      SKIP  SKIP  50.133      1.124       
shape   shape_2           float4        4096      7168      256     64      SKIP  SKIP  53.756      1.310       
shape   shape_3           float4        4096      8192      256     64      SKIP  SKIP  67.906      1.500       
shape   shape_4           float4        8192      8192      256     64      SKIP  SKIP  139.761     2.990       
tail    tail_1            float4        2049      2049      256     64      SKIP  SKIP  9.255       0.193       
tail    tail_2            float4        3073      4097      256     64      SKIP  SKIP  22.861      0.567       
tail    tail_3            float4        4097      8193      256     64      SKIP  SKIP  61.539      1.501       
scale   scale_sq          float4        4096      4096      64      8       SKIP  SKIP  43.408      2.895       
scale   scale_sq          float4        4096      4096      64      16      SKIP  SKIP  39.448      1.594       
scale   scale_sq          float4        4096      4096      64      32      SKIP  SKIP  33.083      0.969       
scale   scale_sq          float4        4096      4096      64      64      SKIP  SKIP  34.913      0.775       
scale   scale_sq          float4        4096      4096      64      128     SKIP  SKIP  40.436      0.753       
scale   scale_sq          float4        4096      4096      128     8       SKIP  SKIP  37.819      1.595       
scale   scale_sq          float4        4096      4096      128     16      SKIP  SKIP  32.138      0.969       
scale   scale_sq          float4        4096      4096      128     32      SKIP  SKIP  31.163      0.780       
scale   scale_sq          float4        4096      4096      128     64      SKIP  SKIP  32.619      0.753       
scale   scale_sq          float4        4096      4096      128     128     SKIP  SKIP  33.260      0.752       
scale   scale_sq          float4        4096      4096      256     8       SKIP  SKIP  38.940      0.971       
