Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221076 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    H           H_out       K       stride  pad     dil     block   grid    cpu     gpu     total_ms    kernel_ms   
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       256     128     SKIP    SKIP    2.756       2.756       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       512     8       SKIP    SKIP    7.959       7.959       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       512     16      SKIP    SKIP    4.154       4.154       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       512     32      SKIP    SKIP    2.440       2.440       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       512     64      SKIP    SKIP    2.804       2.804       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       512     128     SKIP    SKIP    2.336       2.336       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       64      8       SKIP    SKIP    0.313       0.313       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       64      16      SKIP    SKIP    0.160       0.160       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       64      32      SKIP    SKIP    0.087       0.087       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       64      64      SKIP    SKIP    0.051       0.051       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       64      128     SKIP    SKIP    0.038       0.038       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       128     8       SKIP    SKIP    0.163       0.163       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       128     16      SKIP    SKIP    0.086       0.086       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       128     32      SKIP    SKIP    0.049       0.049       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       128     64      SKIP    SKIP    0.038       0.038       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       128     128     SKIP    SKIP    0.034       0.034       
overlap   p6_large_1                  basic     1048576     262144      7       4       3       1       256     8       SKIP    SKIP    0.087       0.087       
