Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel        m         k         block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_1 constant_b    4096      4096      512     8       SKIP  SKIP  20.186      1.099       
scale   scale_tensara_1 constant_b    4096      4096      512     16      SKIP  SKIP  27.125      1.091       
scale   scale_tensara_1 constant_b    4096      4096      512     32      SKIP  SKIP  26.513      1.091       
scale   scale_tensara_1 constant_b    4096      4096      512     64      SKIP  SKIP  30.049      2.157       
scale   scale_tensara_1 constant_b    4096      4096      512     128     SKIP  SKIP  41.000      2.157       
scale   scale_tensara_2 constant_b    6144      4096      64      8       SKIP  SKIP  43.102      3.497       
scale   scale_tensara_2 constant_b    6144      4096      64      16      SKIP  SKIP  36.668      1.877       
scale   scale_tensara_2 constant_b    6144      4096      64      32      SKIP  SKIP  40.511      1.476       
scale   scale_tensara_2 constant_b    6144      4096      64      64      SKIP  SKIP  32.602      1.471       
scale   scale_tensara_2 constant_b    6144      4096      64      128     SKIP  SKIP  26.466      1.485       
scale   scale_tensara_2 constant_b    6144      4096      128     8       SKIP  SKIP  35.741      2.025       
scale   scale_tensara_2 constant_b    6144      4096      128     16      SKIP  SKIP  27.034      1.475       
scale   scale_tensara_2 constant_b    6144      4096      128     32      SKIP  SKIP  26.132      1.470       
scale   scale_tensara_2 constant_b    6144      4096      128     64      SKIP  SKIP  29.567      1.467       
scale   scale_tensara_2 constant_b    6144      4096      128     128     SKIP  SKIP  31.639      1.502       
scale   scale_tensara_2 constant_b    6144      4096      256     8       SKIP  SKIP  30.722      1.620       
scale   scale_tensara_2 constant_b    6144      4096      256     16      SKIP  SKIP  29.908      1.519       
scale   scale_tensara_2 constant_b    6144      4096      256     32      SKIP  SKIP  30.484      1.476       
scale   scale_tensara_2 constant_b    6144      4096      256     64      SKIP  SKIP  28.237      1.519       
scale   scale_tensara_2 constant_b    6144      4096      256     128     SKIP  SKIP  26.842      1.473       
scale   scale_tensara_2 constant_b    6144      4096      512     8       SKIP  SKIP  30.831      2.162       
scale   scale_tensara_2 constant_b    6144      4096      512     16      SKIP  SKIP  28.350      1.475       
scale   scale_tensara_2 constant_b    6144      4096      512     32      SKIP  SKIP  32.833      1.482       
scale   scale_tensara_2 constant_b    6144      4096      512     64      SKIP  SKIP  39.977      2.159       
scale   scale_tensara_2 constant_b    6144      4096      512     128     SKIP  SKIP  47.645      2.161       
scale   scale_tensara_3 constant_b    7168      4096      64      8       SKIP  SKIP  47.243      4.075       
scale   scale_tensara_3 constant_b    7168      4096      64      16      SKIP  SKIP  40.138      2.189       
scale   scale_tensara_3 constant_b    7168      4096      64      32      SKIP  SKIP  30.581      1.788       
scale   scale_tensara_3 constant_b    7168      4096      64      64      SKIP  SKIP  31.848      1.715       
scale   scale_tensara_3 constant_b    7168      4096      64      128     SKIP  SKIP  32.684      1.746       
scale   scale_tensara_3 constant_b    7168      4096      128     8       SKIP  SKIP  34.596      2.360       
scale   scale_tensara_3 constant_b    7168      4096      128     16      SKIP  SKIP  55.563      1.811       
scale   scale_tensara_3 constant_b    7168      4096      128     32      SKIP  SKIP  49.392      1.718       
scale   scale_tensara_3 constant_b    7168      4096      128     64      SKIP  SKIP  44.987      1.709       
scale   scale_tensara_3 constant_b    7168      4096      128     128     SKIP  SKIP  32.368      1.739       
scale   scale_tensara_3 constant_b    7168      4096      256     8       SKIP  SKIP  35.924      2.188       
scale   scale_tensara_3 constant_b    7168      4096      256     16      SKIP  SKIP  30.685      1.738       
scale   scale_tensara_3 constant_b    7168      4096      256     32      SKIP  SKIP  30.636      1.717       
scale   scale_tensara_3 constant_b    7168      4096      256     64      SKIP  SKIP  33.350      1.736       
scale   scale_tensara_3 constant_b    7168      4096      256     128     SKIP  SKIP  30.497      1.751       
scale   scale_tensara_3 constant_b    7168      4096      512     8       SKIP  SKIP  33.287      2.169       
scale   scale_tensara_3 constant_b    7168      4096      512     16      SKIP  SKIP  33.592      1.734       
scale   scale_tensara_3 constant_b    7168      4096      512     32      SKIP  SKIP  33.056      1.723       
scale   scale_tensara_3 constant_b    7168      4096      512     64      SKIP  SKIP  32.400      2.160       
scale   scale_tensara_3 constant_b    7168      4096      512     128     SKIP  SKIP  34.855      2.247       
scale   scale_tensara_4 constant_b    8192      4096      64      8       SKIP  SKIP  49.018      4.666       
scale   scale_tensara_4 constant_b    8192      4096      64      16      SKIP  SKIP  36.865      2.530       
scale   scale_tensara_4 constant_b    8192      4096      64      32      SKIP  SKIP  31.940      1.964       
scale   scale_tensara_4 constant_b    8192      4096      64      64      SKIP  SKIP  32.602      1.957       
scale   scale_tensara_4 constant_b    8192      4096      64      128     SKIP  SKIP  35.048      2.045       
scale   scale_tensara_4 constant_b    8192      4096      128     8       SKIP  SKIP  36.953      2.743       
scale   scale_tensara_4 constant_b    8192      4096      128     16      SKIP  SKIP  31.051      1.962       
scale   scale_tensara_4 constant_b    8192      4096      128     32      SKIP  SKIP  32.026      1.956       
scale   scale_tensara_4 constant_b    8192      4096      128     64      SKIP  SKIP  31.636      1.971       
scale   scale_tensara_4 constant_b    8192      4096      128     128     SKIP  SKIP  32.169      1.970       
scale   scale_tensara_4 constant_b    8192      4096      256     8       SKIP  SKIP  32.548      2.167       
scale   scale_tensara_4 constant_b    8192      4096      256     16      SKIP  SKIP  31.716      1.956       
scale   scale_tensara_4 constant_b    8192      4096      256     32      SKIP  SKIP  31.061      2.003       
scale   scale_tensara_4 constant_b    8192      4096      256     64      SKIP  SKIP  31.523      1.973       
scale   scale_tensara_4 constant_b    8192      4096      256     128     SKIP  SKIP  31.601      1.969       
scale   scale_tensara_4 constant_b    8192      4096      512     8       SKIP  SKIP  32.219      2.171       
scale   scale_tensara_4 constant_b    8192      4096      512     16      SKIP  SKIP  34.139      1.988       
scale   scale_tensara_4 constant_b    8192      4096      512     32      SKIP  SKIP  31.279      2.001       
scale   scale_tensara_4 constant_b    8192      4096      512     64      SKIP  SKIP  33.795      2.180       
scale   scale_tensara_4 constant_b    8192      4096      512     128     SKIP  SKIP  33.875      2.166       
scale   scale_tensara_5 constant_b    9216      4096      64      8       SKIP  SKIP  63.748      5.252       
scale   scale_tensara_5 constant_b    9216      4096      64      16      SKIP  SKIP  51.460      2.839       
scale   scale_tensara_5 constant_b    9216      4096      64      32      SKIP  SKIP  48.479      2.276       
scale   scale_tensara_5 constant_b    9216      4096      64      64      SKIP  SKIP  39.094      2.293       
scale   scale_tensara_5 constant_b    9216      4096      64      128     SKIP  SKIP  40.331      2.369       
scale   scale_tensara_5 constant_b    9216      4096      128     8       SKIP  SKIP  45.678      3.034       
scale   scale_tensara_5 constant_b    9216      4096      128     16      SKIP  SKIP  44.367      2.300       
scale   scale_tensara_5 constant_b    9216      4096      128     32      SKIP  SKIP  42.669      2.298       
scale   scale_tensara_5 constant_b    9216      4096      128     64      SKIP  SKIP  37.506      2.496       
scale   scale_tensara_5 constant_b    9216      4096      128     128     SKIP  SKIP  40.354      2.238       
scale   scale_tensara_5 constant_b    9216      4096      256     8       SKIP  SKIP  42.384      2.692       
scale   scale_tensara_5 constant_b    9216      4096      256     16      SKIP  SKIP  37.729      2.493       
scale   scale_tensara_5 constant_b    9216      4096      256     32      SKIP  SKIP  39.543      2.493       
scale   scale_tensara_5 constant_b    9216      4096      256     64      SKIP  SKIP  38.777      2.198       
scale   scale_tensara_5 constant_b    9216      4096      256     128     SKIP  SKIP  38.258      2.202       
scale   scale_tensara_5 constant_b    9216      4096      512     8       SKIP  SKIP  43.808      3.241       
scale   scale_tensara_5 constant_b    9216      4096      512     16      SKIP  SKIP  44.400      3.039       
scale   scale_tensara_5 constant_b    9216      4096      512     32      SKIP  SKIP  49.146      2.211       
scale   scale_tensara_5 constant_b    9216      4096      512     64      SKIP  SKIP  41.875      2.214       
scale   scale_tensara_5 constant_b    9216      4096      512     128     SKIP  SKIP  45.486      2.216       
shape   shape_tall      constant_b    8192      1024      256     64      SKIP  SKIP  9.005       0.494       
shape   shape_wide      constant_b    1024      8192      256     64      SKIP  SKIP  19.708      2.164       
shape   shape_odd       constant_b    4097      2049      256     64      SKIP  SKIP  10.565      0.516       
shape   shape_rect      constant_b    2049      4097      256     64      SKIP  SKIP  11.226      0.541       
scale   scale_sq        constant_b    4096      4096      64      8       SKIP  SKIP  25.957      2.329       
scale   scale_sq        constant_b    4096      4096      64      16      SKIP  SKIP  19.895      1.257       
scale   scale_sq        constant_b    4096      4096      64      32      SKIP  SKIP  19.491      0.985       
scale   scale_sq        constant_b    4096      4096      64      64      SKIP  SKIP  17.115      0.983       
scale   scale_sq        constant_b    4096      4096      64      128     SKIP  SKIP  15.960      0.981       
scale   scale_sq        constant_b    4096      4096      128     8       SKIP  SKIP  19.266      1.355       
scale   scale_sq        constant_b    4096      4096      128     16      SKIP  SKIP  17.195      0.984       
scale   scale_sq        constant_b    4096      4096      128     32      SKIP  SKIP  27.508      0.980       
scale   scale_sq        constant_b    4096      4096      128     64      SKIP  SKIP  23.683      0.981       
scale   scale_sq        constant_b    4096      4096      128     128     SKIP  SKIP  26.653      0.982       
scale   scale_sq        constant_b    4096      4096      256     8       SKIP  SKIP  22.750      1.081       
scale   scale_sq        constant_b    4096      4096      256     16      SKIP  SKIP  22.921      0.981       
