Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0      64     128    REF   PASS       0.498       0.005
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     128       8    REF   PASS       0.480       0.005
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     128      16    REF   PASS       0.593       0.005
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     128      32    REF   PASS       0.484       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     128      64    REF   PASS       0.488       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     128     128    REF   PASS       0.541       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     256       8    REF   PASS       0.774       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     256      16    REF   PASS       0.632       0.008
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     256      32    REF   PASS       0.487       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     256      64    REF   PASS       0.533       0.005
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     256     128    REF   PASS       0.466       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     512       8    REF   PASS       0.528       0.005
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     512      16    REF   PASS       0.448       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     512      32    REF   PASS       0.564       0.008
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     512      64    REF   PASS       0.494       0.006
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0     512     128    REF   PASS       0.515       0.006

Scale heatmaps: kernel_ms, '-' means no row

scale_kernel_1 / basic best=(128, 16) -> 0.005 ms
block\grid8         16        32        64        128
64        0.022     0.006     0.006     0.006     0.006
128       0.006     0.005     0.006     0.006     0.005
256       0.006     0.005     0.005     0.006     0.006
