Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     128      16   SKIP   SKIP      13.888       1.196
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     128      32   SKIP   SKIP       9.602       0.627
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     128      64   SKIP   SKIP       7.927       0.346
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     128     128   SKIP   SKIP       6.754       0.246
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     256       8   SKIP   SKIP      12.961       1.205
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     256      16   SKIP   SKIP       9.285       0.625
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     256      32   SKIP   SKIP       7.888       0.343
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     256      64   SKIP   SKIP       7.318       0.251
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     256     128   SKIP   SKIP       7.444       0.269
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     512       8   SKIP   SKIP       9.734       0.650
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     512      16   SKIP   SKIP       8.141       0.346
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     512      32   SKIP   SKIP       7.749       0.250
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     512      64   SKIP   SKIP       7.798       0.272
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     512     128   SKIP   SKIP       7.083       0.227
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1      64       8   SKIP   SKIP      34.191       4.056
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1      64      16   SKIP   SKIP      20.901       2.055
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1      64      32   SKIP   SKIP      14.063       1.060
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1      64      64   SKIP   SKIP      11.497       0.567
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1      64     128   SKIP   SKIP      10.693       0.342
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     128       8   SKIP   SKIP      19.903       2.058
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     128      16   SKIP   SKIP      14.409       1.060
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     128      32   SKIP   SKIP      10.976       0.567
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     128      64   SKIP   SKIP       9.670       0.342
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     128     128   SKIP   SKIP       9.725       0.298
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     256       8   SKIP   SKIP      14.130       1.083
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     256      16   SKIP   SKIP      11.328       0.568
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     256      32   SKIP   SKIP      12.710       0.340
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     256      64   SKIP   SKIP       9.626       0.299
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     256     128   SKIP   SKIP       9.753       0.340
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     512       8   SKIP   SKIP      11.544       0.599
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     512      16   SKIP   SKIP       9.843       0.337
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     512      32   SKIP   SKIP       9.960       0.296
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     512      64   SKIP   SKIP       9.671       0.335
scale   scale_tensara_3   basic_ldg        8388608     4194304       3       2       1     512     128   SKIP   SKIP      10.192       0.304
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1      64       8   SKIP   SKIP      72.082       8.982
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1      64      16   SKIP   SKIP      43.407       4.567
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1      64      32   SKIP   SKIP      31.023       2.336
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1      64      64   SKIP   SKIP      23.312       1.242
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1      64     128   SKIP   SKIP      22.522       0.742
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     128       8   SKIP   SKIP      43.164       4.579
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     128      16   SKIP   SKIP      29.937       2.340
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     128      32   SKIP   SKIP      29.834       1.245
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     128      64   SKIP   SKIP      20.070       0.746
