Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_1 basic_c   32768     8191    512     128     SKIP  SKIP  6.866       0.960       
scale   scale_tensara_1 tiled     32768     8191    512     128     SKIP  SKIP  9.901       1.343       
scale   scale_tensara_1 tiled_c   32768     8191    512     128     SKIP  SKIP  5.976       0.822       
scale   scale_tensara_1 bstride   32768     8191    512     128     SKIP  SKIP  9.106       1.215       
scale   scale_tensara_1 bstride_c 32768     8191    512     128     SKIP  SKIP  5.317       0.601       
scale   scale_tensara_2 basic     65536     8191    64      8       SKIP  SKIP  84.450      13.452      
scale   scale_tensara_2 basic_c   65536     8191    64      8       SKIP  SKIP  100.998     16.399      
scale   scale_tensara_2 tiled     65536     8191    64      8       SKIP  SKIP  155.174     25.593      
scale   scale_tensara_2 tiled_c   65536     8191    64      8       SKIP  SKIP  110.362     18.141      
scale   scale_tensara_2 bstride   65536     8191    64      8       SKIP  SKIP  82.219      13.446      
scale   scale_tensara_2 bstride_c 65536     8191    64      8       SKIP  SKIP  46.734      7.564       
scale   scale_tensara_2 basic     65536     8191    64      16      SKIP  SKIP  43.194      6.968       
scale   scale_tensara_2 basic_c   65536     8191    64      16      SKIP  SKIP  52.387      8.459       
scale   scale_tensara_2 tiled     65536     8191    64      16      SKIP  SKIP  78.392      12.777      
scale   scale_tensara_2 tiled_c   65536     8191    64      16      SKIP  SKIP  55.415      8.935       
scale   scale_tensara_2 bstride   65536     8191    64      16      SKIP  SKIP  41.841      6.725       
scale   scale_tensara_2 bstride_c 65536     8191    64      16      SKIP  SKIP  24.559      3.798       
scale   scale_tensara_2 basic     65536     8191    64      32      SKIP  SKIP  25.186      3.774       
scale   scale_tensara_2 basic_c   65536     8191    64      32      SKIP  SKIP  29.401      4.754       
scale   scale_tensara_2 tiled     65536     8191    64      32      SKIP  SKIP  41.146      6.534       
scale   scale_tensara_2 tiled_c   65536     8191    64      32      SKIP  SKIP  29.727      4.637       
scale   scale_tensara_2 bstride   65536     8191    64      32      SKIP  SKIP  24.511      3.822       
scale   scale_tensara_2 bstride_c 65536     8191    64      32      SKIP  SKIP  13.931      2.157       
scale   scale_tensara_2 basic     65536     8191    64      64      SKIP  SKIP  16.686      2.622       
scale   scale_tensara_2 basic_c   65536     8191    64      64      SKIP  SKIP  19.437      3.142       
scale   scale_tensara_2 tiled     65536     8191    64      64      SKIP  SKIP  43.388      7.028       
scale   scale_tensara_2 tiled_c   65536     8191    64      64      SKIP  SKIP  29.452      4.696       
scale   scale_tensara_2 bstride   65536     8191    64      64      SKIP  SKIP  24.592      3.896       
scale   scale_tensara_2 bstride_c 65536     8191    64      64      SKIP  SKIP  13.100      1.960       
scale   scale_tensara_2 basic     65536     8191    64      128     SKIP  SKIP  15.577      2.433       
scale   scale_tensara_2 basic_c   65536     8191    64      128     SKIP  SKIP  14.723      2.269       
scale   scale_tensara_2 tiled     65536     8191    64      128     SKIP  SKIP  34.505      5.729       
scale   scale_tensara_2 tiled_c   65536     8191    64      128     SKIP  SKIP  23.800      3.720       
scale   scale_tensara_2 bstride   65536     8191    64      128     SKIP  SKIP  19.078      3.022       
scale   scale_tensara_2 bstride_c 65536     8191    64      128     SKIP  SKIP  10.822      1.638       
scale   scale_tensara_2 basic     65536     8191    128     8       SKIP  SKIP  45.496      7.395       
scale   scale_tensara_2 basic_c   65536     8191    128     8       SKIP  SKIP  54.140      8.801       
scale   scale_tensara_2 tiled     65536     8191    128     8       SKIP  SKIP  84.985      13.361      
scale   scale_tensara_2 tiled_c   65536     8191    128     8       SKIP  SKIP  55.572      8.969       
scale   scale_tensara_2 bstride   65536     8191    128     8       SKIP  SKIP  45.002      7.238       
scale   scale_tensara_2 bstride_c 65536     8191    128     8       SKIP  SKIP  25.232      3.961       
scale   scale_tensara_2 basic     65536     8191    128     16      SKIP  SKIP  24.938      3.917       
scale   scale_tensara_2 basic_c   65536     8191    128     16      SKIP  SKIP  30.386      4.843       
scale   scale_tensara_2 tiled     65536     8191    128     16      SKIP  SKIP  42.474      6.826       
scale   scale_tensara_2 tiled_c   65536     8191    128     16      SKIP  SKIP  28.601      4.471       
