Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221073 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel        rows    cols    elements      block_x grid_x  cpu     gpu     total_ms    kernel_ms   
scale     tensara_2               float4        256     4096    1048576       256     128     SKIP    SKIP    5.257       5.257       
scale     tensara_2               float4        256     4096    1048576       512     8       SKIP    SKIP    21.383      21.383      
scale     tensara_2               float4        256     4096    1048576       512     16      SKIP    SKIP    10.740      10.740      
scale     tensara_2               float4        256     4096    1048576       512     32      SKIP    SKIP    5.471       5.471       
scale     tensara_2               float4        256     4096    1048576       512     64      SKIP    SKIP    5.535       5.535       
scale     tensara_2               float4        256     4096    1048576       512     128     SKIP    SKIP    4.785       4.785       
scale     tensara_2               shared        256     4096    1048576       64      8       SKIP    SKIP    0.770       0.770       
scale     tensara_2               shared        256     4096    1048576       64      16      SKIP    SKIP    0.390       0.390       
scale     tensara_2               shared        256     4096    1048576       64      32      SKIP    SKIP    0.224       0.224       
scale     tensara_2               shared        256     4096    1048576       64      64      SKIP    SKIP    0.138       0.138       
scale     tensara_2               shared        256     4096    1048576       64      128     SKIP    SKIP    0.106       0.106       
scale     tensara_2               shared        256     4096    1048576       128     8       SKIP    SKIP    0.404       0.404       
scale     tensara_2               shared        256     4096    1048576       128     16      SKIP    SKIP    0.209       0.209       
scale     tensara_2               shared        256     4096    1048576       128     32      SKIP    SKIP    0.122       0.122       
scale     tensara_2               shared        256     4096    1048576       128     64      SKIP    SKIP    0.090       0.090       
scale     tensara_2               shared        256     4096    1048576       128     128     SKIP    SKIP    0.078       0.078       
scale     tensara_2               shared        256     4096    1048576       256     8       SKIP    SKIP    0.227       0.227       
scale     tensara_2               shared        256     4096    1048576       256     16      SKIP    SKIP    0.121       0.121       
scale     tensara_2               shared        256     4096    1048576       256     32      SKIP    SKIP    0.077       0.077       
scale     tensara_2               shared        256     4096    1048576       256     64      SKIP    SKIP    0.066       0.066       
scale     tensara_2               shared        256     4096    1048576       256     128     SKIP    SKIP    0.078       0.078       
scale     tensara_2               shared        256     4096    1048576       512     8       SKIP    SKIP    0.147       0.147       
scale     tensara_2               shared        256     4096    1048576       512     16      SKIP    SKIP    0.084       0.084       
scale     tensara_2               shared        256     4096    1048576       512     32      SKIP    SKIP    0.061       0.061       
scale     tensara_2               shared        256     4096    1048576       512     64      SKIP    SKIP    0.070       0.070       
scale     tensara_2               shared        256     4096    1048576       512     128     SKIP    SKIP    0.062       0.062       
scale     tensara_2               shared_float4 256     4096    1048576       64      8       SKIP    SKIP    0.229       0.229       
scale     tensara_2               shared_float4 256     4096    1048576       64      16      SKIP    SKIP    0.120       0.120       
scale     tensara_2               shared_float4 256     4096    1048576       64      32      SKIP    SKIP    0.078       0.078       
scale     tensara_2               shared_float4 256     4096    1048576       64      64      SKIP    SKIP    0.066       0.066       
scale     tensara_2               shared_float4 256     4096    1048576       64      128     SKIP    SKIP    0.074       0.074       
scale     tensara_2               shared_float4 256     4096    1048576       128     8       SKIP    SKIP    0.134       0.134       
scale     tensara_2               shared_float4 256     4096    1048576       128     16      SKIP    SKIP    0.080       0.080       
scale     tensara_2               shared_float4 256     4096    1048576       128     32      SKIP    SKIP    0.058       0.058       
scale     tensara_2               shared_float4 256     4096    1048576       128     64      SKIP    SKIP    0.061       0.061       
scale     tensara_2               shared_float4 256     4096    1048576       128     128     SKIP    SKIP    0.072       0.072       
scale     tensara_2               shared_float4 256     4096    1048576       256     8       SKIP    SKIP    0.092       0.092       
scale     tensara_2               shared_float4 256     4096    1048576       256     16      SKIP    SKIP    0.066       0.066       
scale     tensara_2               shared_float4 256     4096    1048576       256     32      SKIP    SKIP    0.055       0.055       
scale     tensara_2               shared_float4 256     4096    1048576       256     64      SKIP    SKIP    0.063       0.063       
scale     tensara_2               shared_float4 256     4096    1048576       256     128     SKIP    SKIP    0.075       0.075       
scale     tensara_2               shared_float4 256     4096    1048576       512     8       SKIP    SKIP    0.081       0.081       
scale     tensara_2               shared_float4 256     4096    1048576       512     16      SKIP    SKIP    0.058       0.058       
scale     tensara_2               shared_float4 256     4096    1048576       512     32      SKIP    SKIP    0.052       0.052       
scale     tensara_2               shared_float4 256     4096    1048576       512     64      SKIP    SKIP    0.064       0.064       
scale     tensara_2               shared_float4 256     4096    1048576       512     128     SKIP    SKIP    0.066       0.066       
scale     tensara_2               warp          256     4096    1048576       64      8       SKIP    SKIP    0.356       0.356       
scale     tensara_2               warp          256     4096    1048576       64      16      SKIP    SKIP    0.178       0.178       
scale     tensara_2               warp          256     4096    1048576       64      32      SKIP    SKIP    0.129       0.129       
scale     tensara_2               warp          256     4096    1048576       64      64      SKIP    SKIP    0.122       0.122       
scale     tensara_2               warp          256     4096    1048576       64      128     SKIP    SKIP    0.086       0.086       
scale     tensara_2               warp          256     4096    1048576       128     8       SKIP    SKIP    0.228       0.228       
scale     tensara_2               warp          256     4096    1048576       128     16      SKIP    SKIP    0.132       0.132       
scale     tensara_2               warp          256     4096    1048576       128     32      SKIP    SKIP    0.122       0.122       
scale     tensara_2               warp          256     4096    1048576       128     64      SKIP    SKIP    0.087       0.087       
scale     tensara_2               warp          256     4096    1048576       128     128     SKIP    SKIP    0.087       0.087       
scale     tensara_2               warp          256     4096    1048576       256     8       SKIP    SKIP    0.150       0.150       
scale     tensara_2               warp          256     4096    1048576       256     16      SKIP    SKIP    0.124       0.124       
scale     tensara_2               warp          256     4096    1048576       256     32      SKIP    SKIP    0.088       0.088       
scale     tensara_2               warp          256     4096    1048576       256     64      SKIP    SKIP    0.087       0.087       
scale     tensara_2               warp          256     4096    1048576       256     128     SKIP    SKIP    0.089       0.089       
scale     tensara_2               warp          256     4096    1048576       512     8       SKIP    SKIP    0.129       0.129       
scale     tensara_2               warp          256     4096    1048576       512     16      SKIP    SKIP    0.088       0.088       
scale     tensara_2               warp          256     4096    1048576       512     32      SKIP    SKIP    0.087       0.087       
scale     tensara_2               warp          256     4096    1048576       512     64      SKIP    SKIP    0.087       0.087       
scale     tensara_2               warp          256     4096    1048576       512     128     SKIP    SKIP    0.089       0.089       
scale     tensara_2               warp_float4   256     4096    1048576       64      8       SKIP    SKIP    0.145       0.145       
scale     tensara_2               warp_float4   256     4096    1048576       64      16      SKIP    SKIP    0.083       0.083       
